         2	0.000001	0.000001	0.0000002421
         4	0.000001	0.000000	0.0000002236
         8	0.000001	0.000000	0.0000002350
        16	0.000002	0.000000	0.0000001675
        32	0.000001	0.000000	0.0000001541
        64	0.000003	0.000000	0.0000001578
       128	0.000007	0.000001	0.0000001633
       256	0.000017	0.000000	0.0000001884
       512	0.000037	0.000001	0.0000001791
      1024	0.000077	0.000002	0.0000001837
      2048	0.000171	0.000004	0.0000001854
      4096	0.000367	0.000007	0.0000001941
      8192	0.000786	0.000015	0.0000001922
     16384	0.001701	0.000029	0.0000002088
     32768	0.003690	0.000058	0.0000002173
     65536	0.007917	0.000116	0.0000002170
    131072	0.016844	0.000232	0.0000002186
    262144	0.035208	0.000464	0.0000002304
    524288	0.073796	0.001056	0.0000002517
   1048576	0.155464	0.001867	0.0000002486
   2097152	0.325398	0.003882	0.0000002539
   4194304	0.690440	0.007668	0.0000002553
   8388608	1.433612	0.015512	0.0000002669
  16777216	2.995220	0.030210	0.0000002795
  33554432	6.164515	0.060997	0.0000002773
  67108864	12.831732	0.121621	0.0000002878
